task,layer,probe,acc_mean,acc_std,acc_ci,f1_mean,f1_std,per_fold_acc,n
3-class (A/B/C),22,linear,0.688,0.026,68.8% +/- 2.6%,0.613,0.032,"0.703,0.715,0.680,0.640,0.700",2000
3-class (A/B/C),22,mlp,0.752,0.013,75.2% +/- 1.3%,0.556,0.039,"0.733,0.760,0.755,0.750,0.760",2000
3-class (A/B/C),23,linear,0.699,0.025,69.9% +/- 2.5%,0.618,0.020,"0.705,0.735,0.690,0.670,0.693",2000
3-class (A/B/C),23,mlp,0.746,0.006,74.6% +/- 0.6%,0.548,0.013,"0.750,0.750,0.743,0.752,0.738",2000
Binary bypass,10,linear,0.794,0.012,79.4% +/- 1.2%,0.774,0.022,"0.795,0.797,0.787,0.812,0.777",2000
Binary bypass,10,mlp,0.790,0.015,79.0% +/- 1.5%,0.763,0.014,"0.785,0.810,0.792,0.800,0.765",2000
Binary bypass,23,linear,0.782,0.029,78.2% +/- 2.9%,0.766,0.026,"0.762,0.810,0.745,0.820,0.772",2000
Binary bypass,23,mlp,0.781,0.020,78.1% +/- 2.0%,0.765,0.034,"0.795,0.780,0.772,0.807,0.748",2000
Binary faithful,22,linear,0.764,0.026,76.4% +/- 2.6%,0.637,0.025,"0.725,0.790,0.743,0.767,0.792",2000
Binary faithful,22,mlp,0.856,0.011,85.6% +/- 1.1%,0.613,0.045,"0.870,0.853,0.865,0.840,0.853",2000
Binary faithful,24,linear,0.758,0.024,75.8% +/- 2.4%,0.632,0.034,"0.750,0.780,0.748,0.723,0.790",2000
Binary faithful,24,mlp,0.860,0.021,86.0% +/- 2.1%,0.618,0.052,"0.860,0.860,0.823,0.868,0.887",2000
