layer,task,probe,accuracy,accuracy_std,f1_macro,n
0,3-class (A/B/C),linear,0.6200186139223071,0.01646524490167892,0.5344075738091434,2000
0,3-class (A/B/C),mlp,0.6970244310295597,0.01728483191652123,0.5018059169792108,2000
0,Binary bypass,linear,0.7534737498359364,0.02528377202047243,0.736848113313376,2000
0,Binary bypass,mlp,0.7509574841092757,0.022713181974399914,0.7206229748066336,2000
0,Binary faithful,linear,0.692470465440409,0.03001935333287304,0.5667234690587665,2000
0,Binary faithful,mlp,0.8490083656772855,0.009155485586778214,0.48099481198462435,2000
1,3-class (A/B/C),linear,0.6240211575949216,0.01494959976645735,0.5390776393519622,2000
1,3-class (A/B/C),mlp,0.7140208525557016,0.010314827675183385,0.5261305190712846,2000
1,Binary bypass,linear,0.7639800592503704,0.021929788115456976,0.7490443738758052,2000
1,Binary bypass,mlp,0.7549862749142182,0.03209352336989817,0.7230276318763857,2000
1,Binary faithful,linear,0.6795017375108594,0.03122116982048767,0.5464468632228191,2000
1,Binary faithful,mlp,0.8529971562322265,0.010916995310192919,0.5321218365087264,2000
2,3-class (A/B/C),linear,0.6300286951420312,0.02155045495803668,0.5464523229191539,2000
2,3-class (A/B/C),mlp,0.7110045743756048,0.012781092403729424,0.5280872528613207,2000
2,Binary bypass,linear,0.7574862811642573,0.02129514773189332,0.7410083382300463,2000
2,Binary bypass,mlp,0.7749988749929686,0.011191759122448833,0.7438799246166667,2000
2,Binary faithful,linear,0.6939879967999799,0.030877045033537113,0.5631586277764384,2000
2,Binary faithful,mlp,0.8445046250289063,0.01515279724534179,0.5036778460012886,2000
3,3-class (A/B/C),linear,0.6175385704369607,0.019062891880506118,0.532104373326108,2000
3,3-class (A/B/C),mlp,0.7070470682979082,0.024826868768500824,0.5350802350345022,2000
3,Binary bypass,linear,0.7614825592659954,0.028640708538377274,0.745656119779981,2000
3,Binary bypass,mlp,0.7694713560709754,0.021210551831740573,0.7367276773828411,2000
3,Binary faithful,linear,0.6919779904874406,0.01965848679357355,0.5649132015439604,2000
3,Binary faithful,mlp,0.8464995999974999,0.011470361854471338,0.565109175497608,2000
4,3-class (A/B/C),linear,0.6355287388456625,0.02516482586517715,0.553787223172912,2000
4,3-class (A/B/C),mlp,0.6975381655836841,0.016236067222321224,0.5082780821563571,2000
4,Binary bypass,linear,0.761473806086288,0.02166434190321346,0.7432942110429083,2000
4,Binary bypass,mlp,0.7649750717191982,0.020327135057765625,0.731691534839685,2000
4,Binary faithful,linear,0.7054980468627929,0.02468499839104805,0.5782106193258573,2000
4,Binary faithful,mlp,0.8514996437477734,0.01848097647374812,0.5366276150845227,2000
5,3-class (A/B/C),linear,0.6475238697853802,0.028466779881976607,0.5604429082729335,2000
5,3-class (A/B/C),mlp,0.7115645312335441,0.02296991469685224,0.5303774176920547,2000
5,Binary bypass,linear,0.7629925530784567,0.0194198359252537,0.7446134889776911,2000
5,Binary bypass,mlp,0.773480121750761,0.013241710369744348,0.7414201244387317,2000
5,Binary faithful,linear,0.7185080656754105,0.011380780442587193,0.5855784770484894,2000
5,Binary faithful,mlp,0.8410221126382039,0.01694889795517647,0.5477953750114434,2000
6,3-class (A/B/C),linear,0.6610090193660725,0.019307786752364168,0.5738621718084819,2000
6,3-class (A/B/C),mlp,0.7264923297561655,0.020010444636116297,0.5194903235810632,2000
6,Binary bypass,linear,0.7705100906880669,0.020415414233807487,0.7516608228495875,2000
6,Binary bypass,mlp,0.7834501403133769,0.03520403567783771,0.7564524428610658,2000
6,Binary faithful,linear,0.7235056031600198,0.021298641274892994,0.5905512687989798,2000
6,Binary faithful,mlp,0.8460146313414458,0.017024129626957218,0.5622894506414139,2000
7,3-class (A/B/C),linear,0.6465138634728408,0.019198274051223953,0.5552588638839824,2000
7,3-class (A/B/C),mlp,0.7149871738937175,0.007008141418024921,0.5055504742187951,2000
7,Binary bypass,linear,0.7699825842661516,0.02707601298629385,0.7518753116335054,2000
7,Binary bypass,mlp,0.7794764373527334,0.02548073970771724,0.7453825478036381,2000
7,Binary faithful,linear,0.7185043062769142,0.014965028779663603,0.5810722714855118,2000
7,Binary faithful,mlp,0.8525008781304884,0.01321670348809615,0.5405035540872897,2000
8,3-class (A/B/C),linear,0.6470114132243177,0.014723805885501663,0.5534694640475363,2000
8,3-class (A/B/C),mlp,0.7000207090846556,0.022833250097199387,0.5115989918169987,2000
8,Binary bypass,linear,0.7815013875086718,0.020594433501136572,0.763508677694474,2000
8,Binary bypass,mlp,0.7869852217826361,0.02553826391347984,0.7550732361304829,2000
8,Binary faithful,linear,0.7034917686985545,0.022327919307796665,0.5699243029699051,2000
8,Binary faithful,mlp,0.8435096250601566,0.017569347681464405,0.5752825712980733,2000
9,3-class (A/B/C),linear,0.6505388326587489,0.02617701930088638,0.5608640535349101,2000
9,3-class (A/B/C),mlp,0.7180121741432525,0.014549700745345385,0.5195646862231377,2000
9,Binary bypass,linear,0.7859964124775779,0.021703848859586896,0.7688212077756951,2000
9,Binary bypass,mlp,0.7839763873524209,0.021516782721152195,0.7501869631739643,2000
9,Binary faithful,linear,0.6985142063387897,0.023807009988887306,0.5660180945308451,2000
9,Binary faithful,mlp,0.8315033406458789,0.01924501802626782,0.5649711463826714,2000
10,3-class (A/B/C),linear,0.657995334485766,0.02755532211101446,0.567074352124541,2000
10,3-class (A/B/C),mlp,0.7320061328741513,0.017485947474386584,0.523280942009789,2000
10,Binary bypass,linear,0.7944964499778122,0.02329294110367396,0.7762553455785236,2000
10,Binary bypass,mlp,0.7824926343289645,0.021868482169488945,0.7501706345649537,2000
10,Binary faithful,linear,0.7129980281126758,0.012121767333439134,0.5766722886415738,2000
10,Binary faithful,mlp,0.8505133969587311,0.018970706901240596,0.5662007212908851,2000
11,3-class (A/B/C),linear,0.6500301541063735,0.019296295371946038,0.5508455434514188,2000
11,3-class (A/B/C),mlp,0.7225147302693029,0.011776335542404951,0.5224297847732887,2000
11,Binary bypass,linear,0.7905101781886137,0.022126738118608852,0.7727822806788746,2000
11,Binary bypass,mlp,0.7794913936962107,0.01660968034028725,0.7466906952691434,2000
11,Binary faithful,linear,0.705014250089063,0.01683994712072889,0.5680118491627713,2000
11,Binary faithful,mlp,0.8435033593959961,0.010742016254413874,0.5567123559030531,2000
12,3-class (A/B/C),linear,0.6664679900518035,0.015629814669086736,0.5672645387338459,2000
12,3-class (A/B/C),mlp,0.7360323427394556,0.015363975140657057,0.5531682948898846,2000
12,Binary bypass,linear,0.7925076844230275,0.023755731157544313,0.7738004194874424,2000
12,Binary bypass,mlp,0.7850214188838681,0.0186200149472695,0.7526625113447029,2000
12,Binary faithful,linear,0.7155155219720123,0.014799948001118718,0.5801232338154746,2000
12,Binary faithful,mlp,0.8495033843961526,0.00774502675755608,0.5340139030716371,2000
13,3-class (A/B/C),linear,0.665511612805789,0.02188692995678679,0.5664178475204479,2000
13,3-class (A/B/C),mlp,0.7345036391552073,0.014684721234851678,0.5219250860945231,2000
13,Binary bypass,linear,0.7925114250714067,0.03366120428162368,0.7753070969583253,2000
13,Binary bypass,mlp,0.7864914249464059,0.008644825631233685,0.7572433194073276,2000
13,Binary faithful,linear,0.7124892936830856,0.014079886275038124,0.5818965576720844,2000
13,Binary faithful,mlp,0.846512143825899,0.012777182332727751,0.5619486420357444,2000
14,3-class (A/B/C),linear,0.6665315818671628,0.01228944768210056,0.5773605167016422,2000
14,3-class (A/B/C),mlp,0.7260484463848795,0.020293136338466758,0.5411248607032139,2000
14,Binary bypass,linear,0.7934926843292771,0.0331673188279518,0.7762219218593378,2000
14,Binary bypass,mlp,0.7840089375558597,0.010732637289823741,0.7506360006245334,2000
14,Binary faithful,linear,0.710008021925137,0.017250958085733705,0.5795370480533203,2000
14,Binary faithful,mlp,0.8505046250289064,0.008634336338802187,0.5487318538226056,2000
15,3-class (A/B/C),linear,0.6659716809797226,0.014646071650031721,0.5713002910756361,2000
15,3-class (A/B/C),mlp,0.727532224315208,0.01281230691181843,0.5251731557509116,2000
15,Binary bypass,linear,0.7899801967512297,0.027700286404909732,0.7718204072220394,2000
15,Binary bypass,mlp,0.7839789373683586,0.02118072010046874,0.7515079804846382,2000
15,Binary faithful,linear,0.7215255720348253,0.020070335359412196,0.5907556521659447,2000
15,Binary faithful,mlp,0.8520208907555673,0.015169795427941493,0.5696058181256114,2000
16,3-class (A/B/C),linear,0.6600165131629088,0.0159386238095283,0.572854149147592,2000
16,3-class (A/B/C),mlp,0.7185022425046872,0.02652378489314811,0.5249072140602944,2000
16,Binary bypass,linear,0.7819951343445896,0.02255164433935506,0.7640545517282453,2000
16,Binary bypass,mlp,0.7730076219226371,0.018316966649930013,0.7414302939723129,2000
16,Binary faithful,linear,0.7245055406596291,0.012250028114857495,0.595129670217677,2000
16,Binary faithful,mlp,0.8410183594897468,0.013903410671673512,0.5878416647384124,2000
17,3-class (A/B/C),linear,0.6709942310273768,0.012645826502268377,0.584393774568542,2000
17,3-class (A/B/C),mlp,0.7340023487087093,0.024749190653085937,0.5586236692947304,2000
17,Binary bypass,linear,0.7819963812273827,0.025398480318047357,0.7642223372470314,2000
17,Binary bypass,mlp,0.7804951468446678,0.014427305418395727,0.7488853071949821,2000
17,Binary faithful,linear,0.7250155469721686,0.017417358090554367,0.5945313459579873,2000
17,Binary faithful,mlp,0.8510046250289065,0.007074400256039632,0.563160585635601,2000
18,3-class (A/B/C),linear,0.6739867310737857,0.009022735110268576,0.5806540618220006,2000
18,3-class (A/B/C),mlp,0.7360048798812455,0.015296835670018013,0.5482629022715261,2000
18,Binary bypass,linear,0.7849901405633786,0.023246755554716173,0.7669286725909427,2000
18,Binary bypass,mlp,0.7819776529853312,0.023655755118655752,0.7513910350282932,2000
18,Binary faithful,linear,0.7470418940118375,0.029477545658511763,0.6187265706987539,2000
18,Binary faithful,mlp,0.8445033906461916,0.013324912385029109,0.589698281859506,2000
19,3-class (A/B/C),linear,0.6680228598443666,0.015884571784287517,0.5760964970536808,2000
19,3-class (A/B/C),mlp,0.7225009895117814,0.013206918726908682,0.5483463437202182,2000
19,Binary bypass,linear,0.7865114000712504,0.024169225641420215,0.7683340060863586,2000
19,Binary bypass,mlp,0.7854826405165032,0.02422197596467118,0.7550949967166282,2000
19,Binary faithful,linear,0.7455355908474427,0.027274563939016627,0.6165018399740999,2000
19,Binary faithful,mlp,0.8460246314039462,0.0255343600361594,0.5828851801757489,2000
20,3-class (A/B/C),linear,0.6685053535315939,0.015736235631212857,0.5840953372345725,2000
