Direction,Alpha,Error_Rate,N,Correct,Avg_Response_Length
error_prop,-10.0,0.303,198,138,358
error_prop,-5.0,0.053,1198,1135,312
error_prop,-2.0,0.323,198,134,357
error_prop,-1.0,0.318,198,135,359
error_prop,-0.5,0.318,198,135,358
error_prop,0.0,0.053,1198,1135,308
error_prop,0.5,0.303,198,138,360
error_prop,1.0,0.308,198,137,358
error_prop,2.0,0.303,198,138,362
error_prop,5.0,0.051,1198,1137,313
error_prop,10.0,0.303,198,138,354
random,-10.0,0.303,198,138,356
random,-5.0,0.050,1198,1138,311
random,-2.0,0.313,198,136,355
random,-1.0,0.313,198,136,359
random,-0.5,0.318,198,135,362
random,0.0,0.053,1198,1135,308
random,0.5,0.313,198,136,357
random,1.0,0.308,198,137,360
random,2.0,0.308,198,137,358
random,5.0,0.053,1198,1134,313
random,10.0,0.313,198,136,358
