layer,task,probe,accuracy,accuracy_std,f1_macro,f1_std,n
0,3-class (A/B/C),linear,0.5673023203945025,0.020237403927945166,0.5690953352323574,0.020117503616388376,4287
0,3-class (A/B/C),mlp,0.5742969593611368,0.014256786336186772,0.5763384235294835,0.01325589569481479,4287
0,Binary bypass (A vs non-A),linear,0.7466739017497477,0.010828017333583783,0.7148759172798328,0.011580980296371661,4287
0,Binary bypass (A vs non-A),mlp,0.7947279091969873,0.01694034128331696,0.7308463162143393,0.029107239559699155,4287
0,Binary faithful (C vs non-C),linear,0.644271092579144,0.012182089799827834,0.6312856653568255,0.012776004197370421,4287
0,Binary faithful (C vs non-C),mlp,0.6827557506670694,0.01704733784051988,0.6434585420364964,0.021134110899954074,4287
1,3-class (A/B/C),linear,0.5698642469937687,0.00781716709474915,0.5730549501306609,0.008210305960652671,4287
1,3-class (A/B/C),mlp,0.5547081079169761,0.01738010079738792,0.5576573531518016,0.017068419882146642,4287
1,Binary bypass (A vs non-A),linear,0.7634699023263785,0.01232551876990582,0.7283759630371731,0.013796636578121623,4287
1,Binary bypass (A vs non-A),mlp,0.7893644278708456,0.012471648589435383,0.7246150317660132,0.027952085678709163,4287
1,Binary faithful (C vs non-C),linear,0.6468384590905012,0.010472853866728984,0.6375875387375686,0.009846234723861935,4287
1,Binary faithful (C vs non-C),mlp,0.6776283615256778,0.007752086043549642,0.6383139478000691,0.007158930292736107,4287
2,3-class (A/B/C),linear,0.5626354198116158,0.016985657451908158,0.5663240303925037,0.016947084089503787,4287
2,3-class (A/B/C),mlp,0.5605356137444819,0.025770224025436893,0.5646042744153601,0.025995330782938853,4287
2,Binary bypass (A vs non-A),linear,0.7595017584515834,0.010884830279004788,0.7262735558543397,0.010032728460379404,4287
2,Binary bypass (A vs non-A),mlp,0.7942608927439733,0.006969462929101956,0.7338944446035252,0.011423028082132676,4287
2,Binary faithful (C vs non-C),linear,0.6512632835853372,0.01594213161349557,0.6416233368475381,0.015316382193551767,4287
2,Binary faithful (C vs non-C),mlp,0.6750680669000388,0.008967370512901996,0.630500683108126,0.012435641035383034,4287
3,3-class (A/B/C),linear,0.5754657244738925,0.017507152324249084,0.5779303073516442,0.0172262936067882,4287
3,3-class (A/B/C),mlp,0.566601659717179,0.011558684503755415,0.5697831246968296,0.012079204241796605,4287
3,Binary bypass (A vs non-A),linear,0.7644006712851521,0.016348890432760416,0.7334390062206397,0.015864688161640578,4287
3,Binary bypass (A vs non-A),mlp,0.7949588334652511,0.00822280078488282,0.7351382578412584,0.012829447933738839,4287
3,Binary faithful (C vs non-C),linear,0.6498706660900361,0.009439562308719,0.6395956067882772,0.006770972396128917,4287
3,Binary faithful (C vs non-C),mlp,0.6802000799667078,0.01392322719147882,0.6415894008391737,0.01808856477890645,4287
4,3-class (A/B/C),linear,0.591327692144495,0.019009962746600766,0.5941224595146225,0.01905740598411448,4287
4,3-class (A/B/C),mlp,0.5752337122232104,0.019270351501687617,0.5777225445946305,0.01871161450014334,4287
4,Binary bypass (A vs non-A),linear,0.7604355193620072,0.015804416595136785,0.7282772181501178,0.016165676783534963,4287
4,Binary bypass (A vs non-A),mlp,0.7907594933265878,0.01758836278178779,0.7293927354621761,0.019690635720277735,4287
4,Binary faithful (C vs non-C),linear,0.6489344572191713,0.013034303508348317,0.639295822169599,0.012331789519743262,4287
4,Binary faithful (C vs non-C),mlp,0.6818263416863183,0.009845478967027735,0.6409031700141995,0.014030753733767578,4287
5,3-class (A/B/C),linear,0.5882976611097964,0.02431001343337812,0.5910288050662456,0.024023275002522,4287
5,3-class (A/B/C),mlp,0.5850320818815568,0.015288113701178333,0.5876892246137817,0.01574725864062181,4287
5,Binary bypass (A vs non-A),linear,0.7646370354655069,0.012353527448907192,0.732344142810893,0.012229849435198958,4287
5,Binary bypass (A vs non-A),mlp,0.7954247619358472,0.012792220058186721,0.7312976914989405,0.017660150518803118,4287
5,Binary faithful (C vs non-C),linear,0.6591998433305318,0.012721207428808582,0.6487085355466381,0.011754148799466027,4287
5,Binary faithful (C vs non-C),mlp,0.6904611141483954,0.009114977665331233,0.6484065743470371,0.010518903750399475,4287
6,3-class (A/B/C),linear,0.5845634334549153,0.017409970924169137,0.5875578247571935,0.017125038984211544,4287
6,3-class (A/B/C),mlp,0.5724348774523804,0.01911998209526537,0.5753004442052899,0.02005884618616235,4287
6,Binary bypass (A vs non-A),linear,0.771401566150691,0.015536150943501768,0.7392080904169608,0.016935779854012147,4287
6,Binary bypass (A vs non-A),mlp,0.7956638460722475,0.013123400879637113,0.7334717939306292,0.01846616689253096,4287
6,Binary faithful (C vs non-C),linear,0.6561616524276968,0.016287881190060367,0.647427717835384,0.01579685504992366,4287
6,Binary faithful (C vs non-C),mlp,0.6862612300185228,0.015131612697397823,0.6521879830812775,0.010758039138717644,4287
7,3-class (A/B/C),linear,0.5861948630910124,0.01806186634049434,0.5893629690100013,0.017245943466269245,4287
7,3-class (A/B/C),mlp,0.5707980079041922,0.01710428491617924,0.5735337028188126,0.01754259490225581,4287
