layer,task,probe,accuracy,accuracy_std,f1_macro,f1_std,n
0,3-class (A/B/C),linear,0.6280532212885154,0.03044933886710839,0.5573711605648549,0.028831513645667096,1194
0,3-class (A/B/C),mlp,0.6933613445378152,0.03899667862057228,0.5762828806966419,0.04090335238434992,1194
0,Binary bypass (A vs non-A),linear,0.7227664287472312,0.018055205213071752,0.7198356841154354,0.0166256915343904,1194
0,Binary bypass (A vs non-A),mlp,0.7185788122780492,0.020764137187472,0.7141903653997379,0.01991446289925292,1194
0,Binary faithful (C vs non-C),linear,0.7662513387326224,0.02763709067045217,0.5820945402268327,0.032690030195083576,1194
0,Binary faithful (C vs non-C),mlp,0.8752406625485849,0.012185245922296287,0.5845720049952913,0.04143674290886168,1194
1,3-class (A/B/C),linear,0.6055252100840336,0.01665101187905063,0.5399699995476491,0.024337466822883735,1194
1,3-class (A/B/C),mlp,0.6557002801120448,0.03490250032180285,0.5189500875655604,0.06378617851933081,1194
1,Binary bypass (A vs non-A),linear,0.7001511901831862,0.02150576006686586,0.6966462793770937,0.01935032454045309,1194
1,Binary bypass (A vs non-A),mlp,0.7210892725290952,0.017342216048958147,0.7091317124968012,0.012116905200408888,1194
1,Binary faithful (C vs non-C),linear,0.7755128820237379,0.01603525980657646,0.5994699372440329,0.04312114581530002,1194
1,Binary faithful (C vs non-C),mlp,0.8768899841065604,0.009647365265522224,0.5950043811551426,0.035121776872525746,1194
2,3-class (A/B/C),linear,0.6314565826330532,0.038542940247274914,0.559505404745968,0.0376281907376758,1194
2,3-class (A/B/C),mlp,0.6850210084033614,0.032012885404061005,0.5459254184466283,0.01958474393042203,1194
2,Binary bypass (A vs non-A),linear,0.709377307408319,0.01468877247643995,0.705906660326923,0.01413860218091933,1194
2,Binary bypass (A vs non-A),mlp,0.7269681094195001,0.014584507398570108,0.718622965108214,0.013610756298167617,1194
2,Binary faithful (C vs non-C),linear,0.7730234602182592,0.011776636150504742,0.5811756880802882,0.04428680696264103,1194
2,Binary faithful (C vs non-C),mlp,0.8843898071913475,0.012021126191057755,0.6000140703109251,0.07412846837704347,1194
3,3-class (A/B/C),linear,0.6339355742296919,0.025007417553334077,0.5649634077496517,0.015818376255851408,1194
3,3-class (A/B/C),mlp,0.6522899159663866,0.036951914980763216,0.5210252946766087,0.05207004834646434,1194
3,Binary bypass (A vs non-A),linear,0.715235047994093,0.049338534411661854,0.7113547901197484,0.04737528588648784,1194
3,Binary bypass (A vs non-A),mlp,0.7068211384972398,0.02857250595284097,0.6975323242975275,0.031189667947221937,1194
3,Binary faithful (C vs non-C),linear,0.786388055990364,0.02356665657361707,0.6088777741363692,0.03730578551988731,1194
3,Binary faithful (C vs non-C),mlp,0.8810318908030348,0.012418244979162819,0.61830044411295,0.03878914887562917,1194
4,3-class (A/B/C),linear,0.6096078431372549,0.0436338609388412,0.538285557849594,0.032887926765456224,1194
4,3-class (A/B/C),mlp,0.662359943977591,0.046058025076249974,0.5518909872823429,0.05377651333117797,1194
4,Binary bypass (A vs non-A),linear,0.7244611652192257,0.020827389591422024,0.7203407068196575,0.021786285366305825,1194
4,Binary bypass (A vs non-A),mlp,0.7260890967265567,0.029750667545771083,0.7167634106224972,0.030033492454913147,1194
4,Binary faithful (C vs non-C),linear,0.7915074874820432,0.02983216543420914,0.6185841606912219,0.04239965645788196,1194
4,Binary faithful (C vs non-C),mlp,0.8693056255922208,0.012930518409754389,0.602010572748458,0.036351261268116,1194
5,3-class (A/B/C),linear,0.6104761904761904,0.03762854295944823,0.5475107586816914,0.0313153584826093,1194
5,3-class (A/B/C),mlp,0.6766036414565827,0.04239462715912081,0.5453872506848628,0.04028079735930211,1194
5,Binary bypass (A vs non-A),linear,0.7085369712738652,0.009187219312904364,0.7047076027715974,0.009848555477891189,1194
5,Binary bypass (A vs non-A),mlp,0.7244365528638234,0.03336665788043167,0.7121552828562775,0.03936319978741098,1194
5,Binary faithful (C vs non-C),linear,0.7788712119559968,0.02158643953753212,0.6068402538313837,0.0197214015226221,1194
5,Binary faithful (C vs non-C),mlp,0.8777302616401681,0.004628457254446991,0.542257865436538,0.06138408863164526,1194
6,3-class (A/B/C),linear,0.634733893557423,0.0386193148897518,0.5681194610931726,0.03958944175785695,1194
6,3-class (A/B/C),mlp,0.6942366946778712,0.027594640666632093,0.5769882055898454,0.03936402387903251,1194
6,Binary bypass (A vs non-A),linear,0.711050947575683,0.025010803810149706,0.7072403380060981,0.02186136134280282,1194
6,Binary bypass (A vs non-A),mlp,0.7185928764811363,0.031241016323818357,0.701593309494446,0.041285795849825044,1194
6,Binary faithful (C vs non-C),linear,0.8031813349777176,0.020282550527322706,0.6297815987733874,0.027743803393219992,1194
6,Binary faithful (C vs non-C),mlp,0.8819284262616651,0.006851040324889936,0.5837029031387428,0.04353971717343351,1194
7,3-class (A/B/C),linear,0.595343137254902,0.03606133896664443,0.5283753264634342,0.04521626195363315,1194
7,3-class (A/B/C),mlp,0.6422549019607843,0.03450605221703668,0.489362861544807,0.05843651247925383,1194
7,Binary bypass (A vs non-A),linear,0.7001582222847297,0.02557233564272327,0.6972596745513413,0.02397506477523019,1194
7,Binary bypass (A vs non-A),mlp,0.7127386519461341,0.029337646151997344,0.7014479673848112,0.03145094106048582,1194
7,Binary faithful (C vs non-C),linear,0.8081776115986354,0.02410162466687986,0.6337119603626613,0.028633321157528053,1194
7,Binary faithful (C vs non-C),mlp,0.8818721968952827,0.010853244842211535,0.6050227215096584,0.024478979476943132,1194
8,3-class (A/B/C),linear,0.6163655462184874,0.02937125060773806,0.5537511611152107,0.03007162652674288,1194
8,3-class (A/B/C),mlp,0.6489705882352942,0.03153753760019483,0.5027279391093431,0.05696622222463968,1194
8,Binary bypass (A vs non-A),linear,0.711036883372596,0.01955247476689672,0.708288731809214,0.018797789469796815,1194
8,Binary bypass (A vs non-A),mlp,0.7294504412643719,0.02169513192865338,0.7168972287103991,0.025293255524398157,1194
8,Binary faithful (C vs non-C),linear,0.8081848803289124,0.015283243695137836,0.6437334045381562,0.012355367624986999,1194
8,Binary faithful (C vs non-C),mlp,0.8785810287252446,0.014036187122968363,0.6384084979246729,0.03036046493532015,1194
9,3-class (A/B/C),linear,0.630560224089636,0.03214659022767564,0.5709249909019041,0.025518180628571703,1194
9,3-class (A/B/C),mlp,0.6975840336134455,0.03578879468948637,0.576324425150944,0.061606044916237813,1194
9,Binary bypass (A vs non-A),linear,0.7127456840476777,0.01434651090355883,0.7093402522306238,0.014275174817873056,1194
9,Binary bypass (A vs non-A),mlp,0.7462149713441862,0.015391920981382123,0.7366647170794792,0.015256191402632608,1194
9,Binary faithful (C vs non-C),linear,0.7913816429066197,0.024200171344885484,0.616993769882324,0.024181350842216183,1194
9,Binary faithful (C vs non-C),mlp,0.8744109046086525,0.015289053921273391,0.626091169518751,0.039771480576264596,1194
10,3-class (A/B/C),linear,0.6313655462184874,0.04223408108020032,0.5633476750461216,0.03740016849712656,1194
10,3-class (A/B/C),mlp,0.6741106442577032,0.03414664921134878,0.5592734389066483,0.06401137620861456,1194
10,Binary bypass (A vs non-A),linear,0.6976161175767378,0.031110696747314828,0.6937833081661937,0.030292174116721547,1194
10,Binary bypass (A vs non-A),mlp,0.719405084209416,0.02582171600233288,0.7079010164251208,0.02734832591634105,1194
10,Binary faithful (C vs non-C),linear,0.7913814062778866,0.026690576027831085,0.6182406699425244,0.029689480880995454,1194
10,Binary faithful (C vs non-C),mlp,0.888633505412122,0.01903815225680018,0.6426077242803968,0.048202706132670144,1194
11,3-class (A/B/C),linear,0.6381092436974789,0.02912236405191795,0.5781306476142618,0.019624648464932493,1194
11,3-class (A/B/C),mlp,0.6732703081232494,0.04341010149745921,0.5379397168527691,0.0683688477018535,1194
11,Binary bypass (A vs non-A),linear,0.7018177982490068,0.02078138422221575,0.6997331747811583,0.02023843645031748,1194
11,Binary bypass (A vs non-A),mlp,0.7085334552230935,0.019866795785757858,0.6946232885532834,0.023404903585520703,1194
11,Binary faithful (C vs non-C),linear,0.7914375774143141,0.01192515721872906,0.6289632653418862,0.010873012896754373,1194
11,Binary faithful (C vs non-C),mlp,0.874358309236517,0.007192664524801788,0.5933117408902188,0.03778234790857007,1194
12,3-class (A/B/C),linear,0.6473039215686275,0.027004366535281783,0.585268465330111,0.03312557424299226,1194
12,3-class (A/B/C),mlp,0.6959593837535014,0.01357253423182972,0.5739339915561905,0.03328346490143107,1194
12,Binary bypass (A vs non-A),linear,0.7286241693330051,0.027496132112459937,0.7259256783896871,0.026549763501699963,1194
12,Binary bypass (A vs non-A),mlp,0.7336661861397279,0.027339372872362114,0.7244028215159571,0.02694696666523704,1194
12,Binary faithful (C vs non-C),linear,0.7897603028818116,0.011996862516490736,0.616696638780468,0.018396792477514252,1194
12,Binary faithful (C vs non-C),mlp,0.8844038725071088,0.01031335123299931,0.6338219731628535,0.044395556187368235,1194
13,3-class (A/B/C),linear,0.6255952380952381,0.019824186637058202,0.5592777817377009,0.020663423941706335,1194
13,3-class (A/B/C),mlp,0.689278711484594,0.021792852101862253,0.5843213819144959,0.0320528324341908,1194
13,Binary bypass (A vs non-A),linear,0.7110474315249112,0.017074459521009885,0.7073014367917936,0.017728229591011543,1194
13,Binary bypass (A vs non-A),mlp,0.7269505291656412,0.013190569323463448,0.7201324836060928,0.014053119576262832,1194
13,Binary faithful (C vs non-C),linear,0.7914304852283586,0.018349753426064302,0.6141794842362275,0.02709656227802568,1194
13,Binary faithful (C vs non-C),mlp,0.8886337119986495,0.0063649015288785174,0.6471673742876332,0.02883832114815708,1194
14,3-class (A/B/C),linear,0.6381582633053221,0.011745482493886482,0.5751819257477415,0.016011468322890604,1194
14,3-class (A/B/C),mlp,0.6808963585434173,0.03135639465041573,0.5745020232690183,0.055649053188676176,1194
14,Binary bypass (A vs non-A),linear,0.7319644175661896,0.02005869708987552,0.7281348483147105,0.018903390828716223,1194
14,Binary bypass (A vs non-A),mlp,0.7252909532013642,0.0164710523318453,0.7168123942233453,0.015790749117106064,1194
14,Binary faithful (C vs non-C),linear,0.7998198127829067,0.023602989661770265,0.6162157682389553,0.03859918978105373,1194
14,Binary faithful (C vs non-C),mlp,0.8836021843725043,0.009054853606747659,0.6516914841036223,0.03756327816595904,1194
15,3-class (A/B/C),linear,0.6615126050420168,0.035555914306315335,0.6005371792961248,0.04086806981210995,1194
15,3-class (A/B/C),mlp,0.6942296918767508,0.035032336938073845,0.581486075979365,0.04310539137301057,1194
15,Binary bypass (A vs non-A),linear,0.7419957104180585,0.03408050971543463,0.7380869762670419,0.032689690495633306,1194
15,Binary bypass (A vs non-A),mlp,0.7261383214373616,0.01871050618533749,0.7132315973058191,0.023393673116172155,1194
15,Binary faithful (C vs non-C),linear,0.8106987383163634,0.01336067600920577,0.6323433606216469,0.02302222611853258,1194
15,Binary faithful (C vs non-C),mlp,0.8877791636754273,0.013775310238302797,0.6361703962519695,0.04460376938596966,1194
16,3-class (A/B/C),linear,0.6632212885154061,0.03161854740614842,0.5902780711126747,0.026082773494135337,1194
16,3-class (A/B/C),mlp,0.6858823529411764,0.04983318157064633,0.571154425918188,0.06600613233442568,1194
16,Binary bypass (A vs non-A),linear,0.7110439154741394,0.018513246404339666,0.7065308295865713,0.018874655967844812,1194
16,Binary bypass (A vs non-A),mlp,0.7152526282479519,0.022487040084106805,0.7034831819339499,0.01825893844910274,1194
16,Binary faithful (C vs non-C),linear,0.8115708372221301,0.0383465805285273,0.6432246392769784,0.04717240283804527,1194
16,Binary faithful (C vs non-C),mlp,0.8710144859808231,0.01170857719277304,0.5790398468689364,0.031721086176554995,1194
17,3-class (A/B/C),linear,0.6506022408963585,0.04995648032675364,0.586639976475184,0.04685473951071811,1194
17,3-class (A/B/C),mlp,0.6926330532212884,0.025443351621496836,0.5794758432296528,0.03724993294403606,1194
17,Binary bypass (A vs non-A),linear,0.7336943145459021,0.03665175578436876,0.7292164662511574,0.03588360939273174,1194
17,Binary bypass (A vs non-A),mlp,0.7269540452164129,0.020246083485342934,0.7200003617149344,0.01812753563056048,1194
17,Binary faithful (C vs non-C),linear,0.7964162737813731,0.023728563971236228,0.6259662356716567,0.029814465864175223,1194
17,Binary faithful (C vs non-C),mlp,0.8861056414515385,0.005945467647567941,0.618661735496807,0.03441133816704691,1194
18,3-class (A/B/C),linear,0.6723949579831933,0.04046834245880611,0.6062478236980381,0.03950604869145852,1194
18,3-class (A/B/C),mlp,0.6975420168067228,0.03250781742094457,0.5742163452074254,0.04067885842411434,1194
18,Binary bypass (A vs non-A),linear,0.7311486937871383,0.023510016102748416,0.727757762860217,0.022893767390230937,1194
18,Binary bypass (A vs non-A),mlp,0.7210963046306389,0.018205293317990284,0.7085940357604563,0.023463892229963108,1194
18,Binary faithful (C vs non-C),linear,0.7813918958293555,0.019678668030708422,0.612313219941024,0.01943989228159427,1194
18,Binary faithful (C vs non-C),mlp,0.8877124154571527,0.016249753955975915,0.59677348913473,0.05940185886224635,1194
19,3-class (A/B/C),linear,0.6464215686274509,0.038975620741097644,0.5745896043111901,0.04235395669823854,1194
19,3-class (A/B/C),mlp,0.6816806722689076,0.02611824586505786,0.5673592313775445,0.03908147532740311,1194
19,Binary bypass (A vs non-A),linear,0.7303259379065434,0.027880295293402753,0.7264847296662422,0.027758687913579928,1194
19,Binary bypass (A vs non-A),mlp,0.7428782391617734,0.02535211976724244,0.7369210110394734,0.025525732839407855,1194
19,Binary faithful (C vs non-C),linear,0.7989829329857042,0.021201798665888644,0.6179541328829208,0.019603223306125205,1194
19,Binary faithful (C vs non-C),mlp,0.8868966334481465,0.014616092786499023,0.5956659617747283,0.050407903689325205,1194
20,3-class (A/B/C),linear,0.6623249299719889,0.042565603655989416,0.5927514447130019,0.04597286337683347,1194
20,3-class (A/B/C),mlp,0.6782072829131652,0.06043165650359585,0.5491144258373682,0.06997799019455761,1194
20,Binary bypass (A vs non-A),linear,0.7361836784923174,0.028717275745698583,0.7325020484272462,0.028328458110082444,1194
20,Binary bypass (A vs non-A),mlp,0.7328258500052741,0.021458776739312596,0.7261842486621843,0.019023710121099425,1194
20,Binary faithful (C vs non-C),linear,0.8081495703519478,0.026959155827631438,0.6299672268831155,0.02385359878597875,1194
20,Binary faithful (C vs non-C),mlp,0.894428072060348,0.02493270473197718,0.6623872903308439,0.06692689691541216,1194
21,3-class (A/B/C),linear,0.6364005602240896,0.05041410638943526,0.5641172640692123,0.04791789407376053,1194
21,3-class (A/B/C),mlp,0.6917156862745097,0.027166947939755746,0.570536404257309,0.03337656807875307,1194
21,Binary bypass (A vs non-A),linear,0.7294891178228614,0.009522789759682387,0.7251427776952992,0.010574205217050173,1194
21,Binary bypass (A vs non-A),mlp,0.7328399142083611,0.021613400612560174,0.7258485288199978,0.021324016493171647,1194
21,Binary faithful (C vs non-C),linear,0.8233428715482803,0.016818346906806378,0.6501810174149736,0.022173882221037323,1194
21,Binary faithful (C vs non-C),mlp,0.8869037838640565,0.008790350850495876,0.6174295097076725,0.031774748093183494,1194
22,3-class (A/B/C),linear,0.6673669467787116,0.041844821915485005,0.603640132716779,0.03837517075051146,1194
22,3-class (A/B/C),mlp,0.6841246498599439,0.051428619105572185,0.5771076080713946,0.053329291077581636,1194
